sk_id;data_referencia;data_extracao;site;categoria;marca;termo_buscado;titulo_anuncio;quantidade_embalagem;preco_total_anuncio;preco_unitario;link
0e24a82f90dd4f085fc8ac7f9e168822;2026-06-28;2026-06-28 21:18:11.439649;PaoDeAcucar;whisky;Johnnie Walker;Whisky Johnnie Walker Red Label 1L;Whisky Escocês Blended Red Label Johnnie Walker Garrafa 1l;1;89.99;89.99;https://www.paodeacucar.com/produto/16238/whisky-escoces-blended-red-label-johnnie-walker-garrafa-1l
bbabdcca9401d8ada39aa9b9841fcbae;2026-06-28;2026-06-28 21:18:22.770212;PaoDeAcucar;energetico;Red Bull;Energetico Red Bull Energy Drink Lata 250ml;Energético Red Bull Energy Drink 250ml - 4 Latas;4;29.96;7.49;https://www.paodeacucar.com/produto/150964/energetico-red-bull-energy-drink-250ml---4-latas
322c5e2c2f0827b97ebb8cba197a68ed;2026-06-28;2026-06-28 21:17:59.345446;PaoDeAcucar;cerveja;Spaten;Cerveja Spaten Lata 350ml;Cerveja Spaten Puro Malte Lata 350ml - 2 Unidades;2;7.98;3.99;https://www.paodeacucar.com/produto/1447228/cerveja-spaten-puro-malte-lata-350ml---2-unidades
34bf59f908c3a801f413b29716b19eb8;2026-06-28;2026-06-28 21:19:57.585584;TendaAtacado;refrigerante;Coca-Cola;Refrigerante Coca-Cola Pet 2L;Refrigerante Original Menos Açúcar Coca-Cola Garrafa 2l;1;9.69;9.69;https://www.tendaatacado.com.br/produto/refrigerante-coca-cola-original-garrafa-2l
304a5f0ab40ec51d1d50b97039ed447d;2026-06-28;2026-06-28 21:19:00.398085;TendaAtacado;cerveja;Heineken;Cerveja Heineken Lata 350ml;Cerveja Heineken Lata Sleek 350ml;1;5.49;5.49;https://www.tendaatacado.com.br/produto/cerveja-heineken-lata-350ml
a4d9ea4ff094c5df1960d842fef4e4b0;2026-06-28;2026-06-28 21:19:29.213865;TendaAtacado;whisky;Johnnie Walker;Whisky Johnnie Walker Red Label 1L;Whisky Escocês Red Label Johnnie Walker 1L;1;104.9;104.9;https://www.tendaatacado.com.br/produto/whisky-escoces-red-label-johnnie-walker-1l-417
6c8b2b9f57ea305b85c291928d0e926d;2026-06-28;2026-06-28 21:19:43.737690;TendaAtacado;energetico;Red Bull;Energetico Red Bull Energy Drink Lata 250ml;Energético Red Bull Energy Drink 250ml;1;7.49;7.49;https://www.tendaatacado.com.br/produto/energetico-red-bull-250ml-1020
1fb41eb6d9f2757532468f2a946ab96d;2026-06-28;2026-06-28 21:19:15.994804;TendaAtacado;cerveja;Spaten;Cerveja Spaten Lata 350ml;Cerveja Puro Malte Munich Helles Spaten Lata 350ml;1;4.89;4.89;https://www.tendaatacado.com.br/produto/cerveja-puro-malte-munich-helles-spaten-lata-350ml
98021e86339fa5e51397b9e45b05da23;2026-06-28;2026-06-28 21:21:06.999545;ZeDelivery;cerveja;Heineken;Heineken 350ml;Heineken 350ml;1;6.49;6.49;Extraido via Menu de Busca
dbb1f9b1748b29c6c73768316eaf0f75;2026-06-28;2026-06-28 21:21:27.059126;ZeDelivery;whisky;Johnnie Walker;Johnnie Walker Red Label 1L;Whisky Johnnie Walker Red Label 1L;1;110.19;110.19;Extraido via Menu de Busca
ceddec69a9ed2c1c2cebcbae7372b533;2026-06-28;2026-06-28 21:21:38.228412;ZeDelivery;energetico;Red Bull;Red Bull Energy Drink 250ml;Energético Red Bull Energy Drink 250ml;1;10.99;10.99;Extraido via Menu de Busca
c8fdf9b286073057fd9b4b1196d048c5;2026-06-28;2026-06-28 21:21:15.955388;ZeDelivery;cerveja;Spaten;Spaten 350ml;Spaten 350ml;1;4.89;4.89;Extraido via Menu de Busca
